Error,Épocas,Clase
0.6625,0,Train error
0.6,0, Validation error
0.7,0,Test error
0.65,200,Train error
0.85,200, Validation error
0.62,200,Test error
0.6625,400,Train error
0.6,400, Validation error
0.7,400,Test error
0.6625,600,Train error
0.6,600, Validation error
0.7,600,Test error
0.6625,800,Train error
0.6,800, Validation error
0.7,800,Test error
0.6875,1000,Train error
0.55,1000, Validation error
0.6799999999999999,1000,Test error
0.65,1200,Train error
0.85,1200, Validation error
0.62,1200,Test error
0.6875,1400,Train error
0.55,1400, Validation error
0.6799999999999999,1400,Test error
0.65,1600,Train error
0.85,1600, Validation error
0.62,1600,Test error
0.6875,1800,Train error
0.55,1800, Validation error
0.6799999999999999,1800,Test error
0.6625,2000,Train error
0.6,2000, Validation error
0.7,2000,Test error
0.65,2200,Train error
0.85,2200, Validation error
0.62,2200,Test error
0.6625,2400,Train error
0.6,2400, Validation error
0.7,2400,Test error
0.6875,2600,Train error
0.55,2600, Validation error
0.6799999999999999,2600,Test error
0.65,2800,Train error
0.85,2800, Validation error
0.62,2800,Test error
0.6875,3000,Train error
0.55,3000, Validation error
0.6799999999999999,3000,Test error
0.65,3200,Train error
0.85,3200, Validation error
0.62,3200,Test error
0.6875,3400,Train error
0.55,3400, Validation error
0.6799999999999999,3400,Test error
0.65,3600,Train error
0.85,3600, Validation error
0.62,3600,Test error
0.65,3800,Train error
0.85,3800, Validation error
0.62,3800,Test error
0.6625,4000,Train error
0.6,4000, Validation error
0.7,4000,Test error
0.6875,4200,Train error
0.55,4200, Validation error
0.6799999999999999,4200,Test error
0.6875,4400,Train error
0.55,4400, Validation error
0.6799999999999999,4400,Test error
0.6875,4600,Train error
0.55,4600, Validation error
0.6799999999999999,4600,Test error
0.65,4800,Train error
0.85,4800, Validation error
0.62,4800,Test error
0.65,5000,Train error
0.85,5000, Validation error
0.62,5000,Test error
0.65,5200,Train error
0.85,5200, Validation error
0.62,5200,Test error
0.65,5400,Train error
0.85,5400, Validation error
0.62,5400,Test error
0.6625,5600,Train error
0.6,5600, Validation error
0.7,5600,Test error
0.6875,5800,Train error
0.55,5800, Validation error
0.6799999999999999,5800,Test error
0.6875,6000,Train error
0.55,6000, Validation error
0.6799999999999999,6000,Test error
0.6875,6200,Train error
0.55,6200, Validation error
0.6799999999999999,6200,Test error
0.65,6400,Train error
0.85,6400, Validation error
0.62,6400,Test error
0.6625,6600,Train error
0.6,6600, Validation error
0.7,6600,Test error
0.6875,6800,Train error
0.55,6800, Validation error
0.6799999999999999,6800,Test error
0.6625,7000,Train error
0.6,7000, Validation error
0.7,7000,Test error
0.65,7200,Train error
0.85,7200, Validation error
0.62,7200,Test error
0.65,7400,Train error
0.85,7400, Validation error
0.62,7400,Test error
0.6625,7600,Train error
0.6,7600, Validation error
0.7,7600,Test error
0.6625,7800,Train error
0.6,7800, Validation error
0.7,7800,Test error
0.6625,8000,Train error
0.6,8000, Validation error
0.7,8000,Test error
0.65,8200,Train error
0.85,8200, Validation error
0.62,8200,Test error
0.6875,8400,Train error
0.55,8400, Validation error
0.6799999999999999,8400,Test error
0.6875,8600,Train error
0.55,8600, Validation error
0.6799999999999999,8600,Test error
0.6875,8800,Train error
0.55,8800, Validation error
0.6799999999999999,8800,Test error
0.6875,9000,Train error
0.55,9000, Validation error
0.6799999999999999,9000,Test error
0.65,9200,Train error
0.85,9200, Validation error
0.62,9200,Test error
0.65,9400,Train error
0.85,9400, Validation error
0.62,9400,Test error
0.6625,9600,Train error
0.6,9600, Validation error
0.7,9600,Test error
0.6875,9800,Train error
0.55,9800, Validation error
0.6799999999999999,9800,Test error
0.65,10000,Train error
0.85,10000, Validation error
0.62,10000,Test error
0.65,10200,Train error
0.85,10200, Validation error
0.62,10200,Test error
0.65,10400,Train error
0.85,10400, Validation error
0.62,10400,Test error
0.6875,10600,Train error
0.55,10600, Validation error
0.6799999999999999,10600,Test error
0.65,10800,Train error
0.85,10800, Validation error
0.62,10800,Test error
0.6875,11000,Train error
0.55,11000, Validation error
0.6799999999999999,11000,Test error
0.6625,11200,Train error
0.6,11200, Validation error
0.7,11200,Test error
0.6875,11400,Train error
0.55,11400, Validation error
0.6799999999999999,11400,Test error
0.6875,11600,Train error
0.55,11600, Validation error
0.6799999999999999,11600,Test error
0.6625,11800,Train error
0.6,11800, Validation error
0.7,11800,Test error
0.65,12000,Train error
0.85,12000, Validation error
0.62,12000,Test error
0.6625,12200,Train error
0.6,12200, Validation error
0.7,12200,Test error
0.6625,12400,Train error
0.6,12400, Validation error
0.7,12400,Test error
0.6875,12600,Train error
0.55,12600, Validation error
0.6799999999999999,12600,Test error
0.6875,12800,Train error
0.55,12800, Validation error
0.6799999999999999,12800,Test error
0.6625,13000,Train error
0.6,13000, Validation error
0.7,13000,Test error
0.6875,13200,Train error
0.55,13200, Validation error
0.6799999999999999,13200,Test error
0.6875,13400,Train error
0.55,13400, Validation error
0.6799999999999999,13400,Test error
0.6625,13600,Train error
0.6,13600, Validation error
0.7,13600,Test error
0.65,13800,Train error
0.85,13800, Validation error
0.62,13800,Test error
0.65,14000,Train error
0.85,14000, Validation error
0.62,14000,Test error
0.65,14200,Train error
0.85,14200, Validation error
0.62,14200,Test error
