Error,Épocas,Clase
0.23051388888888852,0,Error train
0.28033333333333316,0,Error validación
0.23180000000000045,0,Error test
0.22743055555555525,50,Error train
0.27533333333333315,50,Error validación
0.22872777777777825,50,Error test
0.22484722222222192,100,Error train
0.26994444444444426,100,Error validación
0.22573888888888935,100,Error test
0.22330555555555523,150,Error train
0.2687777777777776,150,Error validación
0.22443888888888935,150,Error test
0.22209722222222195,200,Error train
0.26911111111111097,200,Error validación
0.22386111111111157,200,Error test
0.22177777777777746,250,Error train
0.2698888888888887,250,Error validación
0.22332222222222267,250,Error test
0.22011111111111087,300,Error train
0.26383333333333314,300,Error validación
0.21973888888888932,300,Error test
0.21827777777777754,350,Error train
0.2606666666666665,350,Error validación
0.21896111111111158,350,Error test
0.2172777777777775,400,Error train
0.2598333333333332,400,Error validación
0.21771111111111152,400,Error test
0.21638888888888863,450,Error train
0.2523333333333332,450,Error validación
0.21458333333333368,450,Error test
0.21415277777777758,500,Error train
0.2503888888888887,500,Error validación
0.21278888888888928,500,Error test
0.21411111111111086,550,Error train
0.2534444444444443,550,Error validación
0.21300000000000033,550,Error test
0.21390277777777753,600,Error train
0.25155555555555537,600,Error validación
0.2129611111111115,600,Error test
0.21129166666666643,650,Error train
0.2490555555555554,650,Error validación
0.21110555555555596,650,Error test
0.21163888888888868,700,Error train
0.25116666666666654,700,Error validación
0.2110944444444448,700,Error test
0.21009722222222205,750,Error train
0.2519444444444443,750,Error validación
0.2103833333333337,750,Error test
0.20577777777777762,800,Error train
0.2406666666666665,800,Error validación
0.20395000000000035,800,Error test
0.2054583333333332,850,Error train
0.24644444444444433,850,Error validación
0.20542222222222262,850,Error test
0.20344444444444426,900,Error train
0.24405555555555544,900,Error validación
0.20391111111111143,900,Error test
0.20288888888888876,950,Error train
0.24055555555555538,950,Error validación
0.20273888888888925,950,Error test
0.20390277777777766,1000,Error train
0.24372222222222206,1000,Error validación
0.20396111111111148,1000,Error test
0.20186111111111096,1050,Error train
0.24083333333333323,1050,Error validación
0.20194444444444476,1050,Error test
0.2009583333333332,1100,Error train
0.23749999999999985,1100,Error validación
0.20048333333333368,1100,Error test
0.20297222222222205,1150,Error train
0.24038888888888874,1150,Error validación
0.20237222222222254,1150,Error test
0.20324999999999988,1200,Error train
0.2392222222222221,1200,Error validación
0.2023888888888892,1200,Error test
0.20113888888888876,1250,Error train
0.24094444444444432,1250,Error validación
0.20157222222222262,1250,Error test
0.2017916666666665,1300,Error train
0.23955555555555538,1300,Error validación
0.20189444444444477,1300,Error test
0.1998055555555554,1350,Error train
0.23699999999999985,1350,Error validación
0.1997277777777781,1350,Error test
0.20191666666666655,1400,Error train
0.24361111111111097,1400,Error validación
0.20188888888888923,1400,Error test
0.19877777777777764,1450,Error train
0.23894444444444427,1450,Error validación
0.19934444444444482,1450,Error test
0.19666666666666655,1500,Error train
0.2368333333333332,1500,Error validación
0.1977277777777781,1500,Error test
0.19734722222222212,1550,Error train
0.23372222222222205,1550,Error validación
0.19633333333333366,1550,Error test
0.19572222222222213,1600,Error train
0.2305555555555554,1600,Error validación
0.1955388888888892,1600,Error test
0.19620833333333323,1650,Error train
0.2337222222222221,1650,Error validación
0.1955277777777781,1650,Error test
0.19433333333333325,1700,Error train
0.23361111111111102,1700,Error validación
0.19582222222222256,1700,Error test
0.19559722222222212,1750,Error train
0.2325555555555554,1750,Error validación
0.19639444444444476,1750,Error test
0.19458333333333322,1800,Error train
0.2317777777777776,1800,Error validación
0.19513333333333366,1800,Error test
0.19651388888888874,1850,Error train
0.23466666666666652,1850,Error validación
0.1971111111111114,1850,Error test
0.19738888888888872,1900,Error train
0.23572222222222206,1900,Error validación
0.197966666666667,1900,Error test
0.19495833333333323,1950,Error train
