Error,D,Type
0.09916500000000002,2,Test_Parallel_BY
0.09280000000000002,2,Val_Parallel_BY
0.10443500000000001,2,Test_Diagonal_BY
0.08920000000000002,2,Val_Diagonal_BY
0.10256499999999999,4,Test_Parallel_BY
0.09080000000000002,4,Val_Parallel_BY
0.10359500000000002,4,Test_Diagonal_BY
0.09180000000000002,4,Val_Diagonal_BY
0.10686,8,Test_Parallel_BY
0.09620000000000002,8,Val_Parallel_BY
0.10351999999999999,8,Test_Diagonal_BY
0.09620000000000002,8,Val_Diagonal_BY
0.10669499999999998,16,Test_Parallel_BY
0.08580000000000002,16,Val_Parallel_BY
0.10994000000000001,16,Test_Diagonal_BY
0.09380000000000002,16,Val_Diagonal_BY
0.11486500000000002,32,Test_Parallel_BY
0.08880000000000002,32,Val_Parallel_BY
0.11987,32,Test_Diagonal_BY
0.08460000000000001,32,Val_Diagonal_BY
