,Error,Épocas,Clase
0,0.5534250140190125,1,"Train error on d1: 0, d2: 0"
1,0.44050002098083496,1,"Validation error on d1: 0, d2: 0"
2,0.3843749761581421,2,"Train error on d1: 0, d2: 0"
3,0.3743000030517578,2,"Validation error on d1: 0, d2: 0"
4,0.32190001010894775,3,"Train error on d1: 0, d2: 0"
5,0.3090999722480774,3,"Validation error on d1: 0, d2: 0"
6,0.2853999733924866,4,"Train error on d1: 0, d2: 0"
7,0.30959999561309814,4,"Validation error on d1: 0, d2: 0"
8,0.25027501583099365,5,"Train error on d1: 0, d2: 0"
9,0.28700000047683716,5,"Validation error on d1: 0, d2: 0"
10,0.22705000638961792,6,"Train error on d1: 0, d2: 0"
11,0.30369997024536133,6,"Validation error on d1: 0, d2: 0"
12,0.20252501964569092,7,"Train error on d1: 0, d2: 0"
13,0.3108999729156494,7,"Validation error on d1: 0, d2: 0"
14,0.18370002508163452,8,"Train error on d1: 0, d2: 0"
15,0.301800012588501,8,"Validation error on d1: 0, d2: 0"
16,0.16282498836517334,9,"Train error on d1: 0, d2: 0"
17,0.2957000136375427,9,"Validation error on d1: 0, d2: 0"
18,0.1450750231742859,10,"Train error on d1: 0, d2: 0"
19,0.2962999939918518,10,"Validation error on d1: 0, d2: 0"
20,0.13164997100830078,11,"Train error on d1: 0, d2: 0"
21,0.3021000027656555,11,"Validation error on d1: 0, d2: 0"
22,0.1226000189781189,12,"Train error on d1: 0, d2: 0"
23,0.2971000075340271,12,"Validation error on d1: 0, d2: 0"
24,0.1061750054359436,13,"Train error on d1: 0, d2: 0"
25,0.30729997158050537,13,"Validation error on d1: 0, d2: 0"
26,0.09829998016357422,14,"Train error on d1: 0, d2: 0"
27,0.3090999722480774,14,"Validation error on d1: 0, d2: 0"
28,0.08974999189376831,15,"Train error on d1: 0, d2: 0"
29,0.30049997568130493,15,"Validation error on d1: 0, d2: 0"
30,0.08317500352859497,16,"Train error on d1: 0, d2: 0"
31,0.298799991607666,16,"Validation error on d1: 0, d2: 0"
32,0.078125,17,"Train error on d1: 0, d2: 0"
33,0.3011000156402588,17,"Validation error on d1: 0, d2: 0"
34,0.06927502155303955,18,"Train error on d1: 0, d2: 0"
35,0.31470000743865967,18,"Validation error on d1: 0, d2: 0"
36,0.06940001249313354,19,"Train error on d1: 0, d2: 0"
37,0.29680001735687256,19,"Validation error on d1: 0, d2: 0"
38,0.06325000524520874,20,"Train error on d1: 0, d2: 0"
39,0.3043000102043152,20,"Validation error on d1: 0, d2: 0"
40,0.058600008487701416,21,"Train error on d1: 0, d2: 0"
41,0.3033999800682068,21,"Validation error on d1: 0, d2: 0"
42,0.05769997835159302,22,"Train error on d1: 0, d2: 0"
43,0.31519997119903564,22,"Validation error on d1: 0, d2: 0"
44,0.05572497844696045,23,"Train error on d1: 0, d2: 0"
45,0.30980002880096436,23,"Validation error on d1: 0, d2: 0"
46,0.053600013256073,24,"Train error on d1: 0, d2: 0"
47,0.3094000220298767,24,"Validation error on d1: 0, d2: 0"
48,0.048250019550323486,25,"Train error on d1: 0, d2: 0"
49,0.3068000078201294,25,"Validation error on d1: 0, d2: 0"
50,0.05047500133514404,26,"Train error on d1: 0, d2: 0"
51,0.30889999866485596,26,"Validation error on d1: 0, d2: 0"
52,0.045799970626831055,27,"Train error on d1: 0, d2: 0"
53,0.3068000078201294,27,"Validation error on d1: 0, d2: 0"
54,0.04877501726150513,28,"Train error on d1: 0, d2: 0"
55,0.30729997158050537,28,"Validation error on d1: 0, d2: 0"
56,0.043725013732910156,29,"Train error on d1: 0, d2: 0"
57,0.3059999942779541,29,"Validation error on d1: 0, d2: 0"
58,0.04584997892379761,30,"Train error on d1: 0, d2: 0"
59,0.3084999918937683,30,"Validation error on d1: 0, d2: 0"
