,Error,Épocas,Clase
0,0.5833249986171722,1,"Train error on d1: 0.2, d2: 0"
1,0.46630001068115234,1,"Validation error on d1: 0.2, d2: 0"
2,0.4208250045776367,2,"Train error on d1: 0.2, d2: 0"
3,0.3690999746322632,2,"Validation error on d1: 0.2, d2: 0"
4,0.3511750102043152,3,"Train error on d1: 0.2, d2: 0"
5,0.3410000205039978,3,"Validation error on d1: 0.2, d2: 0"
6,0.31612497568130493,4,"Train error on d1: 0.2, d2: 0"
7,0.3223000168800354,4,"Validation error on d1: 0.2, d2: 0"
8,0.2821499705314636,5,"Train error on d1: 0.2, d2: 0"
9,0.29180002212524414,5,"Validation error on d1: 0.2, d2: 0"
10,0.2582250237464905,6,"Train error on d1: 0.2, d2: 0"
11,0.2953000068664551,6,"Validation error on d1: 0.2, d2: 0"
12,0.23900002241134644,7,"Train error on d1: 0.2, d2: 0"
13,0.29909998178482056,7,"Validation error on d1: 0.2, d2: 0"
14,0.22380000352859497,8,"Train error on d1: 0.2, d2: 0"
15,0.2757999897003174,8,"Validation error on d1: 0.2, d2: 0"
16,0.20512497425079346,9,"Train error on d1: 0.2, d2: 0"
17,0.27960002422332764,9,"Validation error on d1: 0.2, d2: 0"
18,0.19017499685287476,10,"Train error on d1: 0.2, d2: 0"
19,0.28700000047683716,10,"Validation error on d1: 0.2, d2: 0"
20,0.17970001697540283,11,"Train error on d1: 0.2, d2: 0"
21,0.2864000201225281,11,"Validation error on d1: 0.2, d2: 0"
22,0.17105001211166382,12,"Train error on d1: 0.2, d2: 0"
23,0.27810001373291016,12,"Validation error on d1: 0.2, d2: 0"
24,0.15815001726150513,13,"Train error on d1: 0.2, d2: 0"
25,0.2857999801635742,13,"Validation error on d1: 0.2, d2: 0"
26,0.14899998903274536,14,"Train error on d1: 0.2, d2: 0"
27,0.2888000011444092,14,"Validation error on d1: 0.2, d2: 0"
28,0.14197498559951782,15,"Train error on d1: 0.2, d2: 0"
29,0.28380000591278076,15,"Validation error on d1: 0.2, d2: 0"
30,0.1305999755859375,16,"Train error on d1: 0.2, d2: 0"
31,0.28210002183914185,16,"Validation error on d1: 0.2, d2: 0"
32,0.12647497653961182,17,"Train error on d1: 0.2, d2: 0"
33,0.2777000069618225,17,"Validation error on d1: 0.2, d2: 0"
34,0.11989998817443848,18,"Train error on d1: 0.2, d2: 0"
35,0.2825999855995178,18,"Validation error on d1: 0.2, d2: 0"
36,0.11505001783370972,19,"Train error on d1: 0.2, d2: 0"
37,0.29280000925064087,19,"Validation error on d1: 0.2, d2: 0"
38,0.10780000686645508,20,"Train error on d1: 0.2, d2: 0"
39,0.28380000591278076,20,"Validation error on d1: 0.2, d2: 0"
40,0.10482501983642578,21,"Train error on d1: 0.2, d2: 0"
41,0.2822999954223633,21,"Validation error on d1: 0.2, d2: 0"
42,0.09689998626708984,22,"Train error on d1: 0.2, d2: 0"
43,0.28210002183914185,22,"Validation error on d1: 0.2, d2: 0"
44,0.09455001354217529,23,"Train error on d1: 0.2, d2: 0"
45,0.2771000266075134,23,"Validation error on d1: 0.2, d2: 0"
46,0.08977502584457397,24,"Train error on d1: 0.2, d2: 0"
47,0.281000018119812,24,"Validation error on d1: 0.2, d2: 0"
48,0.08929997682571411,25,"Train error on d1: 0.2, d2: 0"
49,0.28039997816085815,25,"Validation error on d1: 0.2, d2: 0"
50,0.08464998006820679,26,"Train error on d1: 0.2, d2: 0"
51,0.29259997606277466,26,"Validation error on d1: 0.2, d2: 0"
52,0.08112502098083496,27,"Train error on d1: 0.2, d2: 0"
53,0.28380000591278076,27,"Validation error on d1: 0.2, d2: 0"
54,0.07927501201629639,28,"Train error on d1: 0.2, d2: 0"
55,0.2784000039100647,28,"Validation error on d1: 0.2, d2: 0"
56,0.07609999179840088,29,"Train error on d1: 0.2, d2: 0"
57,0.274399995803833,29,"Validation error on d1: 0.2, d2: 0"
58,0.07522499561309814,30,"Train error on d1: 0.2, d2: 0"
59,0.2767000198364258,30,"Validation error on d1: 0.2, d2: 0"
60,0.5912500023841858,1,"Train error on d1: 0.2, d2: 0.2"
61,0.47920000553131104,1,"Validation error on d1: 0.2, d2: 0.2"
62,0.42989999055862427,2,"Train error on d1: 0.2, d2: 0.2"
63,0.3927000164985657,2,"Validation error on d1: 0.2, d2: 0.2"
64,0.3618999719619751,3,"Train error on d1: 0.2, d2: 0.2"
65,0.3407999873161316,3,"Validation error on d1: 0.2, d2: 0.2"
66,0.3243749737739563,4,"Train error on d1: 0.2, d2: 0.2"
67,0.3310999870300293,4,"Validation error on d1: 0.2, d2: 0.2"
68,0.29692500829696655,5,"Train error on d1: 0.2, d2: 0.2"
69,0.2997000217437744,5,"Validation error on d1: 0.2, d2: 0.2"
70,0.27377498149871826,6,"Train error on d1: 0.2, d2: 0.2"
71,0.3069000244140625,6,"Validation error on d1: 0.2, d2: 0.2"
72,0.2566249966621399,7,"Train error on d1: 0.2, d2: 0.2"
73,0.29809999465942383,7,"Validation error on d1: 0.2, d2: 0.2"
74,0.24162501096725464,8,"Train error on d1: 0.2, d2: 0.2"
75,0.29610002040863037,8,"Validation error on d1: 0.2, d2: 0.2"
76,0.2281000018119812,9,"Train error on d1: 0.2, d2: 0.2"
77,0.29430001974105835,9,"Validation error on d1: 0.2, d2: 0.2"
78,0.21490001678466797,10,"Train error on d1: 0.2, d2: 0.2"
79,0.2791000008583069,10,"Validation error on d1: 0.2, d2: 0.2"
80,0.20160001516342163,11,"Train error on d1: 0.2, d2: 0.2"
81,0.27209997177124023,11,"Validation error on d1: 0.2, d2: 0.2"
82,0.19182497262954712,12,"Train error on d1: 0.2, d2: 0.2"
83,0.2856000065803528,12,"Validation error on d1: 0.2, d2: 0.2"
84,0.1809999942779541,13,"Train error on d1: 0.2, d2: 0.2"
85,0.2745000123977661,13,"Validation error on d1: 0.2, d2: 0.2"
86,0.1714000105857849,14,"Train error on d1: 0.2, d2: 0.2"
87,0.28109997510910034,14,"Validation error on d1: 0.2, d2: 0.2"
88,0.1621749997138977,15,"Train error on d1: 0.2, d2: 0.2"
89,0.27490001916885376,15,"Validation error on d1: 0.2, d2: 0.2"
90,0.154075026512146,16,"Train error on d1: 0.2, d2: 0.2"
91,0.2760000228881836,16,"Validation error on d1: 0.2, d2: 0.2"
92,0.14585000276565552,17,"Train error on d1: 0.2, d2: 0.2"
93,0.2822999954223633,17,"Validation error on d1: 0.2, d2: 0.2"
94,0.1399499773979187,18,"Train error on d1: 0.2, d2: 0.2"
95,0.2824000120162964,18,"Validation error on d1: 0.2, d2: 0.2"
96,0.13529998064041138,19,"Train error on d1: 0.2, d2: 0.2"
97,0.2775999903678894,19,"Validation error on d1: 0.2, d2: 0.2"
98,0.1262500286102295,20,"Train error on d1: 0.2, d2: 0.2"
99,0.27789998054504395,20,"Validation error on d1: 0.2, d2: 0.2"
100,0.12397497892379761,21,"Train error on d1: 0.2, d2: 0.2"
101,0.2757999897003174,21,"Validation error on d1: 0.2, d2: 0.2"
102,0.11627501249313354,22,"Train error on d1: 0.2, d2: 0.2"
103,0.27630001306533813,22,"Validation error on d1: 0.2, d2: 0.2"
104,0.11105000972747803,23,"Train error on d1: 0.2, d2: 0.2"
105,0.29839998483657837,23,"Validation error on d1: 0.2, d2: 0.2"
106,0.10492497682571411,24,"Train error on d1: 0.2, d2: 0.2"
107,0.2817000150680542,24,"Validation error on d1: 0.2, d2: 0.2"
108,0.10352498292922974,25,"Train error on d1: 0.2, d2: 0.2"
109,0.2807999849319458,25,"Validation error on d1: 0.2, d2: 0.2"
110,0.09820002317428589,26,"Train error on d1: 0.2, d2: 0.2"
111,0.27399998903274536,26,"Validation error on d1: 0.2, d2: 0.2"
112,0.0992249846458435,27,"Train error on d1: 0.2, d2: 0.2"
113,0.2735000252723694,27,"Validation error on d1: 0.2, d2: 0.2"
114,0.0934000015258789,28,"Train error on d1: 0.2, d2: 0.2"
115,0.27079999446868896,28,"Validation error on d1: 0.2, d2: 0.2"
116,0.0912250280380249,29,"Train error on d1: 0.2, d2: 0.2"
117,0.27549999952316284,29,"Validation error on d1: 0.2, d2: 0.2"
118,0.08767497539520264,30,"Train error on d1: 0.2, d2: 0.2"
119,0.2858999967575073,30,"Validation error on d1: 0.2, d2: 0.2"
120,0.6056250035762787,1,"Train error on d1: 0.2, d2: 0.5"
121,0.4706000089645386,1,"Validation error on d1: 0.2, d2: 0.5"
122,0.4502750039100647,2,"Train error on d1: 0.2, d2: 0.5"
123,0.392799973487854,2,"Validation error on d1: 0.2, d2: 0.5"
124,0.38762497901916504,3,"Train error on d1: 0.2, d2: 0.5"
125,0.35269999504089355,3,"Validation error on d1: 0.2, d2: 0.5"
126,0.34850001335144043,4,"Train error on d1: 0.2, d2: 0.5"
127,0.3237000107765198,4,"Validation error on d1: 0.2, d2: 0.5"
128,0.31847500801086426,5,"Train error on d1: 0.2, d2: 0.5"
129,0.3174999952316284,5,"Validation error on d1: 0.2, d2: 0.5"
130,0.2953000068664551,6,"Train error on d1: 0.2, d2: 0.5"
131,0.307699978351593,6,"Validation error on d1: 0.2, d2: 0.5"
132,0.2760999798774719,7,"Train error on d1: 0.2, d2: 0.5"
133,0.3125,7,"Validation error on d1: 0.2, d2: 0.5"
134,0.25919997692108154,8,"Train error on d1: 0.2, d2: 0.5"
135,0.2904999852180481,8,"Validation error on d1: 0.2, d2: 0.5"
136,0.24295002222061157,9,"Train error on d1: 0.2, d2: 0.5"
137,0.28140002489089966,9,"Validation error on d1: 0.2, d2: 0.5"
138,0.22967499494552612,10,"Train error on d1: 0.2, d2: 0.5"
139,0.2753000259399414,10,"Validation error on d1: 0.2, d2: 0.5"
140,0.21799999475479126,11,"Train error on d1: 0.2, d2: 0.5"
141,0.2824000120162964,11,"Validation error on d1: 0.2, d2: 0.5"
142,0.20569998025894165,12,"Train error on d1: 0.2, d2: 0.5"
143,0.2793999910354614,12,"Validation error on d1: 0.2, d2: 0.5"
144,0.19644999504089355,13,"Train error on d1: 0.2, d2: 0.5"
145,0.2815999984741211,13,"Validation error on d1: 0.2, d2: 0.5"
146,0.18577498197555542,14,"Train error on d1: 0.2, d2: 0.5"
147,0.2710999846458435,14,"Validation error on d1: 0.2, d2: 0.5"
148,0.1776750087738037,15,"Train error on d1: 0.2, d2: 0.5"
149,0.27300000190734863,15,"Validation error on d1: 0.2, d2: 0.5"
150,0.1714249849319458,16,"Train error on d1: 0.2, d2: 0.5"
151,0.2684999704360962,16,"Validation error on d1: 0.2, d2: 0.5"
152,0.1596750020980835,17,"Train error on d1: 0.2, d2: 0.5"
153,0.2645999789237976,17,"Validation error on d1: 0.2, d2: 0.5"
154,0.1498500108718872,18,"Train error on d1: 0.2, d2: 0.5"
155,0.27399998903274536,18,"Validation error on d1: 0.2, d2: 0.5"
156,0.14762502908706665,19,"Train error on d1: 0.2, d2: 0.5"
157,0.2671999931335449,19,"Validation error on d1: 0.2, d2: 0.5"
158,0.14364999532699585,20,"Train error on d1: 0.2, d2: 0.5"
159,0.2760999798774719,20,"Validation error on d1: 0.2, d2: 0.5"
160,0.1367499828338623,21,"Train error on d1: 0.2, d2: 0.5"
161,0.2702000141143799,21,"Validation error on d1: 0.2, d2: 0.5"
162,0.12929999828338623,22,"Train error on d1: 0.2, d2: 0.5"
163,0.2678999900817871,22,"Validation error on d1: 0.2, d2: 0.5"
164,0.12374997138977051,23,"Train error on d1: 0.2, d2: 0.5"
165,0.2728000283241272,23,"Validation error on d1: 0.2, d2: 0.5"
166,0.11790001392364502,24,"Train error on d1: 0.2, d2: 0.5"
167,0.267300009727478,24,"Validation error on d1: 0.2, d2: 0.5"
168,0.11440002918243408,25,"Train error on d1: 0.2, d2: 0.5"
