,Error,Épocas,Clase
0,0.5979999899864197,1,"Train error on d1: 0.5, d2: 0"
1,0.46929997205734253,1,"Validation error on d1: 0.5, d2: 0"
2,0.44795000553131104,2,"Train error on d1: 0.5, d2: 0"
3,0.3992999792098999,2,"Validation error on d1: 0.5, d2: 0"
4,0.38157498836517334,3,"Train error on d1: 0.5, d2: 0"
5,0.34619998931884766,3,"Validation error on d1: 0.5, d2: 0"
6,0.3414750099182129,4,"Train error on d1: 0.5, d2: 0"
7,0.3302000164985657,4,"Validation error on d1: 0.5, d2: 0"
8,0.3137750029563904,5,"Train error on d1: 0.5, d2: 0"
9,0.30489999055862427,5,"Validation error on d1: 0.5, d2: 0"
10,0.2921000123023987,6,"Train error on d1: 0.5, d2: 0"
11,0.3073999881744385,6,"Validation error on d1: 0.5, d2: 0"
12,0.2786499857902527,7,"Train error on d1: 0.5, d2: 0"
13,0.274399995803833,7,"Validation error on d1: 0.5, d2: 0"
14,0.2588750123977661,8,"Train error on d1: 0.5, d2: 0"
15,0.2900000214576721,8,"Validation error on d1: 0.5, d2: 0"
16,0.24755001068115234,9,"Train error on d1: 0.5, d2: 0"
17,0.27730000019073486,9,"Validation error on d1: 0.5, d2: 0"
18,0.23697501420974731,10,"Train error on d1: 0.5, d2: 0"
19,0.2681000232696533,10,"Validation error on d1: 0.5, d2: 0"
20,0.22955000400543213,11,"Train error on d1: 0.5, d2: 0"
21,0.2602999806404114,11,"Validation error on d1: 0.5, d2: 0"
22,0.21455001831054688,12,"Train error on d1: 0.5, d2: 0"
23,0.26670002937316895,12,"Validation error on d1: 0.5, d2: 0"
24,0.20660001039505005,13,"Train error on d1: 0.5, d2: 0"
25,0.267799973487854,13,"Validation error on d1: 0.5, d2: 0"
26,0.20230001211166382,14,"Train error on d1: 0.5, d2: 0"
27,0.26499998569488525,14,"Validation error on d1: 0.5, d2: 0"
28,0.19557499885559082,15,"Train error on d1: 0.5, d2: 0"
29,0.2623000144958496,15,"Validation error on d1: 0.5, d2: 0"
30,0.1884250044822693,16,"Train error on d1: 0.5, d2: 0"
31,0.2516999840736389,16,"Validation error on d1: 0.5, d2: 0"
32,0.1819000244140625,17,"Train error on d1: 0.5, d2: 0"
33,0.254800021648407,17,"Validation error on d1: 0.5, d2: 0"
34,0.17664998769760132,18,"Train error on d1: 0.5, d2: 0"
35,0.25269997119903564,18,"Validation error on d1: 0.5, d2: 0"
36,0.1712999939918518,19,"Train error on d1: 0.5, d2: 0"
37,0.2530999779701233,19,"Validation error on d1: 0.5, d2: 0"
38,0.1632000207901001,20,"Train error on d1: 0.5, d2: 0"
39,0.2468000054359436,20,"Validation error on d1: 0.5, d2: 0"
40,0.1580749750137329,21,"Train error on d1: 0.5, d2: 0"
41,0.2598000168800354,21,"Validation error on d1: 0.5, d2: 0"
42,0.15719997882843018,22,"Train error on d1: 0.5, d2: 0"
43,0.25209999084472656,22,"Validation error on d1: 0.5, d2: 0"
44,0.15420001745224,23,"Train error on d1: 0.5, d2: 0"
45,0.26670002937316895,23,"Validation error on d1: 0.5, d2: 0"
46,0.1448500156402588,24,"Train error on d1: 0.5, d2: 0"
47,0.2513999938964844,24,"Validation error on d1: 0.5, d2: 0"
48,0.1409749984741211,25,"Train error on d1: 0.5, d2: 0"
49,0.24629998207092285,25,"Validation error on d1: 0.5, d2: 0"
50,0.13954997062683105,26,"Train error on d1: 0.5, d2: 0"
51,0.2581999897956848,26,"Validation error on d1: 0.5, d2: 0"
52,0.13712501525878906,27,"Train error on d1: 0.5, d2: 0"
53,0.2590000033378601,27,"Validation error on d1: 0.5, d2: 0"
54,0.1367499828338623,28,"Train error on d1: 0.5, d2: 0"
55,0.2526000142097473,28,"Validation error on d1: 0.5, d2: 0"
56,0.12812501192092896,29,"Train error on d1: 0.5, d2: 0"
57,0.2458999752998352,29,"Validation error on d1: 0.5, d2: 0"
58,0.12629997730255127,30,"Train error on d1: 0.5, d2: 0"
59,0.258400022983551,30,"Validation error on d1: 0.5, d2: 0"
