,Error,Épocas,Clase
0,0.5733749866485596,1,Train error
1,0.44620001316070557,1,Validation error
2,0.3988249897956848,2,Train error
3,0.34549999237060547,2,Validation error
4,0.3281499743461609,3,Train error
5,0.3361999988555908,3,Validation error
6,0.28702497482299805,4,Train error
7,0.319100022315979,4,Validation error
8,0.2524750232696533,5,Train error
9,0.2993999719619751,5,Validation error
10,0.225350022315979,6,Train error
11,0.3066999912261963,6,Validation error
12,0.20297497510910034,7,Train error
13,0.2911999821662903,7,Validation error
14,0.18312501907348633,8,Train error
15,0.296500027179718,8,Validation error
16,0.16234999895095825,9,Train error
17,0.29739999771118164,9,Validation error
18,0.14762502908706665,10,Train error
19,0.29189997911453247,10,Validation error
20,0.13214999437332153,11,Train error
21,0.30580002069473267,11,Validation error
22,0.1188250184059143,12,Train error
23,0.319100022315979,12,Validation error
24,0.10867500305175781,13,Train error
25,0.2971000075340271,13,Validation error
26,0.09477502107620239,14,Train error
27,0.305400013923645,14,Validation error
28,0.09235000610351562,15,Train error
29,0.30809998512268066,15,Validation error
30,0.08499997854232788,16,Train error
31,0.31679999828338623,16,Validation error
32,0.07977497577667236,17,Train error
33,0.3090999722480774,17,Validation error
34,0.07249999046325684,18,Train error
35,0.31610000133514404,18,Validation error
36,0.06932497024536133,19,Train error
37,0.31519997119903564,19,Validation error
38,0.06445002555847168,20,Train error
39,0.3108000159263611,20,Validation error
40,0.0631750226020813,21,Train error
41,0.30650001764297485,21,Validation error
42,0.059050023555755615,22,Train error
43,0.3130999803543091,22,Validation error
44,0.055374979972839355,23,Train error
45,0.31699997186660767,23,Validation error
46,0.05662500858306885,24,Train error
47,0.304099977016449,24,Validation error
48,0.049549996852874756,25,Train error
49,0.3083000183105469,25,Validation error
50,0.05164998769760132,26,Train error
51,0.3140000104904175,26,Validation error
52,0.04715001583099365,27,Train error
53,0.3004000186920166,27,Validation error
54,0.05010002851486206,28,Train error
55,0.3116000294685364,28,Validation error
56,0.04432499408721924,29,Train error
57,0.298799991607666,29,Validation error
58,0.04407501220703125,30,Train error
59,0.30239999294281006,30,Validation error
