Unnamed: 0,Error,Épocas,Clase
0,0.5686250030994415,1,"Train error on d1: 0, d2: 0"
1,0.4599999785423279,1,"Validation error on d1: 0, d2: 0"
2,0.3996999859809875,2,"Train error on d1: 0, d2: 0"
3,0.3683000206947326,2,"Validation error on d1: 0, d2: 0"
4,0.3324000239372253,3,"Train error on d1: 0, d2: 0"
5,0.3222000002861023,3,"Validation error on d1: 0, d2: 0"
6,0.2845000028610229,4,"Train error on d1: 0, d2: 0"
7,0.3043000102043152,4,"Validation error on d1: 0, d2: 0"
8,0.2568749785423279,5,"Train error on d1: 0, d2: 0"
9,0.305400013923645,5,"Validation error on d1: 0, d2: 0"
10,0.2305250167846679,6,"Train error on d1: 0, d2: 0"
11,0.3025000095367431,6,"Validation error on d1: 0, d2: 0"
12,0.2083250284194946,7,"Train error on d1: 0, d2: 0"
13,0.3019999861717224,7,"Validation error on d1: 0, d2: 0"
14,0.1862000226974487,8,"Train error on d1: 0, d2: 0"
15,0.2914999723434448,8,"Validation error on d1: 0, d2: 0"
16,0.1678000092506408,9,"Train error on d1: 0, d2: 0"
17,0.3044000267982483,9,"Validation error on d1: 0, d2: 0"
18,0.1514750123023986,10,"Train error on d1: 0, d2: 0"
19,0.3098999857902527,10,"Validation error on d1: 0, d2: 0"
20,0.1362249851226806,11,"Train error on d1: 0, d2: 0"
21,0.3119000196456909,11,"Validation error on d1: 0, d2: 0"
22,0.1225500106811523,12,"Train error on d1: 0, d2: 0"
23,0.3210999965667724,12,"Validation error on d1: 0, d2: 0"
24,0.1148250102996826,13,"Train error on d1: 0, d2: 0"
25,0.3133000135421753,13,"Validation error on d1: 0, d2: 0"
26,0.1035500168800354,14,"Train error on d1: 0, d2: 0"
27,0.3240000009536743,14,"Validation error on d1: 0, d2: 0"
28,0.0946999788284301,15,"Train error on d1: 0, d2: 0"
29,0.3025000095367431,15,"Validation error on d1: 0, d2: 0"
30,0.0907750129699707,16,"Train error on d1: 0, d2: 0"
31,0.3105999827384949,16,"Validation error on d1: 0, d2: 0"
32,0.0818250179290771,17,"Train error on d1: 0, d2: 0"
33,0.3130000233650207,17,"Validation error on d1: 0, d2: 0"
34,0.0766000151634216,18,"Train error on d1: 0, d2: 0"
35,0.3345000147819519,18,"Validation error on d1: 0, d2: 0"
36,0.0712000131607055,19,"Train error on d1: 0, d2: 0"
37,0.3151000142097473,19,"Validation error on d1: 0, d2: 0"
38,0.0670750141143798,20,"Train error on d1: 0, d2: 0"
39,0.3159000277519226,20,"Validation error on d1: 0, d2: 0"
40,0.0685999989509582,21,"Train error on d1: 0, d2: 0"
41,0.3141999840736389,21,"Validation error on d1: 0, d2: 0"
42,0.0605000257492065,22,"Train error on d1: 0, d2: 0"
43,0.3180999755859375,22,"Validation error on d1: 0, d2: 0"
44,0.0600749850273132,23,"Train error on d1: 0, d2: 0"
45,0.305400013923645,23,"Validation error on d1: 0, d2: 0"
46,0.0580999851226806,24,"Train error on d1: 0, d2: 0"
47,0.3148000240325928,24,"Validation error on d1: 0, d2: 0"
48,0.0499250292778015,25,"Train error on d1: 0, d2: 0"
49,0.3148999810218811,25,"Validation error on d1: 0, d2: 0"
50,0.0537999868392944,26,"Train error on d1: 0, d2: 0"
51,0.3201000094413757,26,"Validation error on d1: 0, d2: 0"
52,0.050475001335144,27,"Train error on d1: 0, d2: 0"
53,0.3241000175476074,27,"Validation error on d1: 0, d2: 0"
54,0.0506749749183654,28,"Train error on d1: 0, d2: 0"
55,0.3226000070571899,28,"Validation error on d1: 0, d2: 0"
56,0.048799991607666,29,"Train error on d1: 0, d2: 0"
57,0.3086000084877014,29,"Validation error on d1: 0, d2: 0"
58,0.0460749864578247,30,"Train error on d1: 0, d2: 0"
59,0.3176000118255615,30,"Validation error on d1: 0, d2: 0"
0,0.5686250030994415,1,"Train error on d1: 0, d2: 0"
1,0.4599999785423279,1,"Validation error on d1: 0, d2: 0"
2,0.3996999859809875,2,"Train error on d1: 0, d2: 0"
3,0.3683000206947326,2,"Validation error on d1: 0, d2: 0"
4,0.3324000239372253,3,"Train error on d1: 0, d2: 0"
5,0.3222000002861023,3,"Validation error on d1: 0, d2: 0"
6,0.2845000028610229,4,"Train error on d1: 0, d2: 0"
7,0.3043000102043152,4,"Validation error on d1: 0, d2: 0"
8,0.2568749785423279,5,"Train error on d1: 0, d2: 0"
9,0.305400013923645,5,"Validation error on d1: 0, d2: 0"
10,0.2305250167846679,6,"Train error on d1: 0, d2: 0"
11,0.3025000095367431,6,"Validation error on d1: 0, d2: 0"
12,0.2083250284194946,7,"Train error on d1: 0, d2: 0"
13,0.3019999861717224,7,"Validation error on d1: 0, d2: 0"
14,0.1862000226974487,8,"Train error on d1: 0, d2: 0"
15,0.2914999723434448,8,"Validation error on d1: 0, d2: 0"
16,0.1678000092506408,9,"Train error on d1: 0, d2: 0"
17,0.3044000267982483,9,"Validation error on d1: 0, d2: 0"
18,0.1514750123023986,10,"Train error on d1: 0, d2: 0"
19,0.3098999857902527,10,"Validation error on d1: 0, d2: 0"
20,0.1362249851226806,11,"Train error on d1: 0, d2: 0"
21,0.3119000196456909,11,"Validation error on d1: 0, d2: 0"
22,0.1225500106811523,12,"Train error on d1: 0, d2: 0"
23,0.3210999965667724,12,"Validation error on d1: 0, d2: 0"
24,0.1148250102996826,13,"Train error on d1: 0, d2: 0"
25,0.3133000135421753,13,"Validation error on d1: 0, d2: 0"
26,0.1035500168800354,14,"Train error on d1: 0, d2: 0"
27,0.3240000009536743,14,"Validation error on d1: 0, d2: 0"
28,0.0946999788284301,15,"Train error on d1: 0, d2: 0"
29,0.3025000095367431,15,"Validation error on d1: 0, d2: 0"
30,0.0907750129699707,16,"Train error on d1: 0, d2: 0"
31,0.3105999827384949,16,"Validation error on d1: 0, d2: 0"
32,0.0818250179290771,17,"Train error on d1: 0, d2: 0"
33,0.3130000233650207,17,"Validation error on d1: 0, d2: 0"
34,0.0766000151634216,18,"Train error on d1: 0, d2: 0"
35,0.3345000147819519,18,"Validation error on d1: 0, d2: 0"
36,0.0712000131607055,19,"Train error on d1: 0, d2: 0"
37,0.3151000142097473,19,"Validation error on d1: 0, d2: 0"
38,0.0670750141143798,20,"Train error on d1: 0, d2: 0"
39,0.3159000277519226,20,"Validation error on d1: 0, d2: 0"
40,0.0685999989509582,21,"Train error on d1: 0, d2: 0"
41,0.3141999840736389,21,"Validation error on d1: 0, d2: 0"
42,0.0605000257492065,22,"Train error on d1: 0, d2: 0"
43,0.3180999755859375,22,"Validation error on d1: 0, d2: 0"
44,0.0600749850273132,23,"Train error on d1: 0, d2: 0"
45,0.305400013923645,23,"Validation error on d1: 0, d2: 0"
46,0.0580999851226806,24,"Train error on d1: 0, d2: 0"
47,0.3148000240325928,24,"Validation error on d1: 0, d2: 0"
48,0.0499250292778015,25,"Train error on d1: 0, d2: 0"
49,0.3148999810218811,25,"Validation error on d1: 0, d2: 0"
50,0.0537999868392944,26,"Train error on d1: 0, d2: 0"
51,0.3201000094413757,26,"Validation error on d1: 0, d2: 0"
