,Error,Épocas,Clase
0,0.6471250057220459,1,Train error
1,0.5818000137805939,1,Validation error
2,0.5558750033378601,2,Train error
3,0.5103999972343445,2,Validation error
4,0.5124750137329102,3,Train error
5,0.4603999853134155,3,Validation error
6,0.4841499924659729,4,Train error
7,0.41659998893737793,4,Validation error
8,0.4641749858856201,5,Train error
9,0.39980000257492065,5,Validation error
10,0.44429999589920044,6,Train error
11,0.3780999779701233,6,Validation error
12,0.4299499988555908,7,Train error
13,0.3579000234603882,7,Validation error
14,0.41360002756118774,8,Train error
15,0.3565000295639038,8,Validation error
16,0.4046750068664551,9,Train error
17,0.36949998140335083,9,Validation error
18,0.39259999990463257,10,Train error
19,0.3471999764442444,10,Validation error
20,0.3841249942779541,11,Train error
21,0.3353000283241272,11,Validation error
22,0.3763499855995178,12,Train error
23,0.33399999141693115,12,Validation error
24,0.37172502279281616,13,Train error
25,0.3295999765396118,13,Validation error
26,0.36877501010894775,14,Train error
27,0.31529998779296875,14,Validation error
28,0.35909998416900635,15,Train error
29,0.2989000082015991,15,Validation error
30,0.35804998874664307,16,Train error
31,0.3144000172615051,16,Validation error
32,0.350724995136261,17,Train error
33,0.30169999599456787,17,Validation error
34,0.34689998626708984,18,Train error
35,0.2889999747276306,18,Validation error
36,0.3431749939918518,19,Train error
37,0.31129997968673706,19,Validation error
38,0.33899998664855957,20,Train error
39,0.28369998931884766,20,Validation error
40,0.33649998903274536,21,Train error
41,0.30229997634887695,21,Validation error
42,0.33197498321533203,22,Train error
43,0.29750001430511475,22,Validation error
44,0.3321499824523926,23,Train error
45,0.3077999949455261,23,Validation error
46,0.3245999813079834,24,Train error
47,0.2944999933242798,24,Validation error
48,0.3228999972343445,25,Train error
49,0.27410000562667847,25,Validation error
50,0.32165002822875977,26,Train error
51,0.28390002250671387,26,Validation error
52,0.31632500886917114,27,Train error
53,0.2839999794960022,27,Validation error
54,0.3160250186920166,28,Train error
55,0.30309998989105225,28,Validation error
56,0.3151249885559082,29,Train error
57,0.2799000144004822,29,Validation error
58,0.31075000762939453,30,Train error
59,0.27630001306533813,30,Validation error
60,0.30822497606277466,31,Train error
61,0.2799000144004822,31,Validation error
62,0.3041999936103821,32,Train error
63,0.2892000079154968,32,Validation error
64,0.30470001697540283,33,Train error
65,0.2775999903678894,33,Validation error
66,0.3023499846458435,34,Train error
67,0.281499981880188,34,Validation error
68,0.30002498626708984,35,Train error
69,0.27410000562667847,35,Validation error
70,0.2965250015258789,36,Train error
71,0.2749999761581421,36,Validation error
72,0.2946000099182129,37,Train error
73,0.265500009059906,37,Validation error
74,0.2933250069618225,38,Train error
75,0.2680000066757202,38,Validation error
76,0.2908250093460083,39,Train error
77,0.2531999945640564,39,Validation error
78,0.2907000184059143,40,Train error
79,0.2742999792098999,40,Validation error
80,0.29294997453689575,41,Train error
81,0.24309998750686646,41,Validation error
82,0.28757500648498535,42,Train error
83,0.26010000705718994,42,Validation error
84,0.2843499779701233,43,Train error
85,0.26749998331069946,43,Validation error
86,0.2827000021934509,44,Train error
87,0.2346000075340271,44,Validation error
88,0.2835249900817871,45,Train error
89,0.23989999294281006,45,Validation error
90,0.2822750210762024,46,Train error
91,0.26340001821517944,46,Validation error
92,0.2801250219345093,47,Train error
93,0.2749999761581421,47,Validation error
94,0.2799000144004822,48,Train error
95,0.24010002613067627,48,Validation error
96,0.27845001220703125,49,Train error
97,0.23729997873306274,49,Validation error
98,0.27582502365112305,50,Train error
99,0.23760002851486206,50,Validation error
